24.238700	24.430700	62	24.327256	24.519256
28.589600	28.993600	58	28.646712	29.050712
29.389600	29.792600	66	29.441451	29.844451
34.507600	34.695600	62	34.567256	34.755256
105.239000	105.612000	62	105.379882	105.752882
108.332000	108.528000	71	108.409179	108.605179
108.336000	108.518000	68	108.454204	108.518000
111.448000	111.808000	73	111.522721	111.882721
113.635000	113.998000	62	113.718059	114.081059
119.666000	119.865000	71	119.772263	119.865000
119.964000	120.393000	57	0.003142	0.432142
119.965000	120.393000	66	120.033778	120.461778
121.737000	121.936000	62	121.829551	122.028551
125.188000	125.363000	64	125.281633	125.363000
130.469000	130.672000	81	130.529488	130.732488
144.305000	144.518000	68	144.438059	144.518000
159.432000	159.540000	69	159.559764	159.632000
183.131000	183.291000	57	183.208526	183.368526
188.416000	188.640000	81	188.478186	188.702186
190.943000	191.095000	70	191.013478	191.095000
