2.432990	3.083980	78	2.496073	3.147063
4.672970	5.635970	66	4.742240	5.705240
4.991970	5.635970	78	5.064780	5.708780
8.875960	9.565960	60	8.945451	9.635451
12.792900	13.440900	78	12.869732	13.517732
15.025900	15.987900	66	15.104290	16.066290
17.587900	18.563900	66	17.712218	18.688218
62.553800	62.958800	66	62.635719	63.040719
64.604800	65.566800	66	64.675592	65.637592
64.918800	65.566800	78	65.003937	65.651937
70.105800	70.815800	83	70.167546	70.877546
74.267800	75.033800	60	74.348952	75.114952
