21.130900	21.904900	60	21.247129	22.021129
77.865800	78.068800	65	77.923084	78.126084
81.356800	81.558800	82	81.424580	81.626580
82.139800	82.331800	65	82.214930	82.406930
110.929000	111.705000	60	111.050522	111.826522
117.708000	118.089000	74	117.787610	118.168610
163.265000	163.670000	60	163.367800	163.772800
170.576000	171.350000	60	170.700553	171.350000
170.957000	171.350000	65	171.044898	171.437898
171.930000	172.129000	65	171.995102	172.194102
172.511000	172.703000	62	172.579156	172.771156
196.346000	196.720000	69	196.422603	196.720000
224.422000	224.801000	65	224.507066	224.886066
224.423000	224.804000	69	224.485261	224.866261
261.548000	262.315000	60	261.670639	262.437639
298.589000	298.953000	62	298.661333	298.953000
319.322000	319.712000	58	319.463873	319.853873
332.930000	333.317000	70	333.022295	333.409295
345.461000	345.657000	69	345.569488	345.765488
372.800000	373.178000	65	372.870821	373.248821
372.800000	373.181000	69	372.870821	373.251821
409.917000	410.692000	60	410.016980	410.791980
442.331000	442.527000	70	442.399093	442.595093
444.555000	444.750000	70	444.611846	444.806846
446.966000	447.334000	62	447.046893	447.334000
458.883000	459.269000	60	458.970812	459.356812
460.013000	460.420000	65	460.099701	460.506701
468.283000	468.482000	63	468.349243	468.548243
