0.512	0.8	57
0.512	0.96	62
0.512	1.024	38
0.512	1.024	50
0.512	1.024	66
0.544	0.672	74
1.344	1.76	66
1.376	1.504	79
1.376	1.792	62
1.472	1.632	78
1.568	1.728	76
1.632	1.792	78
1.76	1.92	81
1.76	1.952	64
1.76	2.176	67
1.888	1.984	79
1.952	2.144	78
2.048	2.208	79
2.208	2.592	66
2.208	2.592	69
2.208	2.592	81
2.592	2.72	81
3.008	3.136	81
3.232	3.36	83
3.392	3.52	85
3.584	3.712	86
3.808	4.256	81
3.808	4.608	54
4.128	4.384	62
4.224	4.608	78
4.224	4.672	50
4.384	4.608	62
4.64	4.8	52
4.64	4.8	81
4.736	4.832	79
4.8	4.96	78
4.8	5.056	62
4.896	5.056	79
5.024	5.12	57
5.024	5.12	81
5.216	5.344	79
5.248	5.344	61
5.44	5.6	77
5.44	5.856	62
5.44	5.888	50
5.664	5.888	78
5.856	5.92	62
6.272	6.4	79
6.272	6.688	66
6.272	6.72	62
6.368	6.56	78
6.464	6.592	76
6.56	6.72	78
6.688	6.816	81
6.688	6.848	64
6.688	7.008	67
6.784	6.88	79
6.848	7.008	78
6.976	7.104	79
7.104	7.488	66
7.104	7.488	81
7.104	7.52	69
7.488	7.584	81
7.904	8.032	81
8.128	8.224	83
8.32	8.448	85
8.512	8.608	86
8.704	9.504	54
8.736	9.088	81
9.024	9.28	62
9.12	9.568	50
9.12	9.568	78
9.28	9.568	62
9.536	9.632	52
9.536	9.664	81
9.632	9.76	79
9.696	9.888	78
9.696	9.952	62
9.824	9.952	79
9.92	10.048	57
9.92	10.048	81
10.016	10.176	79
10.144	10.272	78
10.144	10.368	61
10.24	10.4	76
10.368	10.464	62
10.368	10.464	74
10.592	10.688	66
10.752	10.88	62
10.752	10.88	69
10.944	11.072	66
11.136	11.264	78
11.136	11.296	62
11.264	11.424	78
11.328	11.456	66
11.424	11.552	78
11.552	11.68	62
11.552	11.744	78
11.744	11.808	78
11.744	11.84	66
11.744	11.872	76
11.872	11.968	74
11.968	12.064	64
11.968	12.096	73
12.192	12.288	67
12.352	12.48	64
12.352	12.48	69
12.576	12.672	67
12.768	12.896	64
12.768	12.896	76
12.864	12.96	66
13.024	13.184	66
13.152	13.248	64
13.28	13.376	62
13.376	13.472	61
13.472	13.6	59
13.568	13.664	76
13.568	13.696	57
13.76	13.92	61
13.984	14.112	57
13.984	14.112	69
14.176	14.304	61
14.368	14.464	79
14.368	14.528	57
14.528	14.624	79
14.56	14.656	81
14.56	14.72	61
14.72	14.912	81
14.816	14.848	79
14.816	14.912	55
14.976	15.008	79
14.976	15.104	61
14.976	15.104	78
15.104	15.232	76
15.2	15.328	54
15.2	15.328	74
